operator,name,name_en,website,trains,busses
TokyoMetro,東京メトロ,Tokyo Metro,https://www.tokyometro.jp/,1,0
Toei,東京都交通局,Tokyo Metropolitan Bureau of Transportation,https://www.kotsu.metro.tokyo.jp/,1,1
JR-East,JR-東日本,JR-East,https://www.jreast.co.jp/,1,0
Tokyu,東急電鉄,Tōkyū Railway,http://www.tokyu.co.jp/,1,0
Tobu,東武鉄道,Tōbu Railway,http://www.tobu.co.jp/,1,0
Odakyu,小田急電鉄,Odakyū Railway,https://www.odakyu.jp/,1,0
Keio,京王電鉄,Keiō Corporation,https://www.keio.co.jp/,1,0
Seibu,西武鉄道,Seibu Railway,https://www.seiburailway.jp/,1,0
Keikyu,京急電鉄,Keikyū Railway,http://www.keikyu.co.jp/,1,0
Keisei,京成電鉄,Keisei Electric Railway,http://www.keisei.co.jp/,1,0
TWR,東京臨海高速鉄道,Tokyo Waterfront Area Rapid Transit,http://www.twr.co.jp/,1,0
Yurikamome,ゆりかもめ,Yurikamome,http://www.yurikamome.co.jp/,1,0
YokohamaMunicipal,横浜市交通局,"Transportation Bureau, City of Yokohama",https://www.city.yokohama.lg.jp/kotsu/,1,0
JRBusKanto,JRバス関東,JR Bus Kantō,http://www.jrbuskanto.co.jp/,0,1
KeioBus,京王バス,Keiō Bus,https://www.keio-bus.com/,0,1
KokusaiKogyoBus,国際興業バス,Kokusai Kogyō Bus,https://5931bus.com/,0,1
OdakyuBus,小田急バス,Odakyū Bus,http://www.odakyubus.co.jp/,0,1
SeibuBus,西武バス,Seibu Bus,http://www.seibubus.co.jp/,0,1
TobuBus,東武バス,Tōbu Bus,http://www.tobu-bus.com,0,1
TokyuBus,東急バス,Tokyū Bus,https://www.tokyubus.co.jp/,0,1
NishiTokyoBus,西東京バス,Nishi Tokyo Bus,http://www.nisitokyobus.co.jp/,0,1
KantoBus,関東バス,Kantō Bus,https://www.kanto-bus.co.jp/,0,1
Kanachu,神奈川中央交通,Kanachu,https://www.kanachu.co.jp/,0,1
