id,lat,lon
TokyoMetro.Namboku.RoppongiItchome,35.66552,139.7392
Toei.Arakawa.Kumanomae,35.7491637,139.7695255
JR-East.Yokosuka.MusashiKosugi,35.5749,139.66325
JR-East.ShonanShinjuku.MusashiKosugi,35.5749,139.66325
JR-East.Nambu.MusashiKosugi,35.57665,139.65946
JR-East.Utsunomiya.Kurihashi,36.13685,139.69422
Tokyu.Setagaya.NishiTaishido,35.6446,139.66623
Tokyu.DenEnToshi.SangenJaya,35.64355,139.67125
Tokyu.DenEnToshi.KomazawaDaigaku,35.63338,139.66156
Tokyu.DenEnToshi.SakuraShimmachi,35.63168,139.64486
Tokyu.DenEnToshi.Yoga,35.6264,139.63386
Tokyu.DenEnToshi.Tsukushino,35.52736,139.48505
Tokyu.Toyoko.Hakuraku,35.48951,139.62778
Tokyu.TokyuTamagawa.YaguchiNoWatashi,35.56256,139.70026
Tokyu.Ikegami.Ontakesan,35.5852,139.68249
Tokyu.Oimachi.EbaraMachi,35.60387,139.70733
Tobu.Tojo.Ikebukuro,35.73032,139.71055
Tobu.Tojo.Tamayodo,36.11709,139.20025
Tobu.Tojo.Yorii,36.11763,139.1941
Tobu.Ogose.Kawakado,35.93751,139.34622
Tobu.Ogose.BushuKarasawa,35.95191,139.30943
Tobu.TobuUrbanPark.MinamiSakurai,35.98049,139.8083
Tobu.TobuSkytreeBranch.Oshiage,35.70936,139.81354
Tobu.TobuSkytree.KitaKasukabe,35.99055,139.74405
Tobu.Isesaki.Morinjimae,36.22552,139.52708
Tobu.Kiryu.Aioi,36.41063,139.30415
Tobu.Nikko.Kurihashi,36.1369,139.69385
Tobu.Nikko.KitaKanuma,36.58132,139.73737
Odakyu.Odawara.YoyogiHachiman,35.66969,139.68896
Keio.KeioNew.Hatsudai,35.68137,139.68656
Keio.KeioNew.Hatagaya,35.67718,139.67661
Keio.Inokashira.Shibuya,35.65855,139.69932
Seibu.Shinjuku.Saginomiya,35.72261,139.6393
Seibu.Ikebukuro.Koma,35.88192,139.3046
Seibu.Ikebukuro.MusashiYokote,35.88509,139.28086
Seibu.SeibuChichibu.NishiAgano,35.92678,139.20239
Keikyu.Main.Sengakuji,35.6382,139.7398
Keikyu.Main.Shimbamba,35.6165,139.7415
Keikyu.Main.AomonoYokocho,35.6088,139.7431
Keikyu.Main.Samezu,35.6049,139.7423
Keikyu.Main.Tachiaigawa,35.5986,139.7390
Keikyu.Main.Omorikaigan,35.5876,139.7354
Keikyu.Main.KeikyuShinkoyasu,35.4871,139.6555
Keikyu.Main.KanagawaShimmachi,35.4814,139.6400
Keikyu.Main.Kanagawa,35.4714,139.6275
Keikyu.Main.Idogaya,35.4339,139.6008
Keikyu.Main.Kamiooka,35.4089,139.5967
Keikyu.Main.KanazawaBunko,35.3428,139.6216
Keikyu.Main.Shioiri,35.2803,139.6622
Keikyu.Main.Horinouchi,35.2631,139.6869
Keikyu.Main.KeikyuOtsu,35.2608,139.6958
Keikyu.Main.Maborikaigan,35.2595,139.7078
Keikyu.Main.Uraga,35.2512,139.7151
Keikyu.Daishi.Kawasakidaishi,35.5357,139.7260
Keikyu.Daishi.Higashimonzen,35.5365,139.7343
Keikyu.Daishi.Sangyodoro,35.5366,139.7401
Keikyu.Zushi.Mutsuura,35.3225,139.6113
Keikyu.Zushi.Shinzushi,35.2944,139.5805
Keikyu.Kurihama.Shinotsu,35.2568,139.6901
Keikyu.Kurihama.Horinouchi,35.2631,139.6869
Keikyu.Kurihama.Kitakurihama,35.2496,139.6865
Keikyu.Kurihama.KeikyuKurihama,35.2312,139.7022
Keikyu.Kurihama.KeikyuNagasawa,35.2056,139.6745
Keikyu.Kurihama.Tsukuihama,35.1983,139.6653
Keikyu.Kurihama.Miurakaigan,35.1882,139.6534
Keikyu.Kurihama.Misakiguchi,35.1776,139.6330
Keisei.Oshiage.Oshiage,35.71085,139.81304
Keisei.Oshiage.KeiseiHikifune,35.7187,139.8204
Keisei.Main.KeiseiUeno,35.7710,139.7736
Keisei.Main.Aoto,35.7456,139.8562
Keisei.Oshiage.Aoto,35.7456,139.8562
Keisei.Main.KeiseiNishifuna,35.7116,139.9589
Keisei.Main.KeiseiKoiwa,35.7423,139.8835
Keisei.Main.KeiseiNishifuna,35.7716,139.9590
Keisei.Main.Kaijin,35.7059,139.9718
Keisei.Main.Shizu,35.7174,140.1451
Keisei.Main.NaritaAirportTerminal1,35.7644,140.3855
Keisei.NaritaSkyAccess.NaritaAirportTerminal1,35.7644,140.3855
Keisei.Main.NaritaAirportTerminal2and3,35.7737,140.3872
Keisei.NaritaSkyAccess.NaritaAirportTerminal2and3,35.7737,140.3872
Keisei.Kanamachi.Shibamata,35.7563,139.8752
Keisei.Chiba.KeiseiMakuhari,35.6605,140.0560
Keisei.Chihara.ChibaChuo,35.6072,140.1178
Keisei.Chiba.ChibaChuo,35.6072,140.1178
